1,Human,0.936,0.3,0.953425,0.15,0.980282,0.936,0.3,0.953425,0.15,0.980282,0.941333,0.4,0.956164,0.2,0.983099,
2,Human,0.946667,0.5,0.958904,0.25,0.985915,0.946667,0.5,0.958904,0.25,0.985915,0.930667,0.2,0.950685,0.1,0.977465,
3,Human,0.936,0.3,0.953425,0.15,0.980282,0.936,0.3,0.953425,0.15,0.980282,0.930667,0.2,0.950685,0.1,0.977465,
4,Human,0.930667,0.2,0.950685,0.1,0.977465,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,
5,Human,0.941333,0.4,0.956164,0.2,0.983099,0.936,0.3,0.953425,0.15,0.980282,0.930667,0.2,0.950685,0.1,0.977465,
6,Human,0.946667,0.5,0.958904,0.25,0.985915,0.941333,0.4,0.956164,0.2,0.983099,0.941333,0.4,0.956164,0.2,0.983099,
7,Human,0.946667,0.5,0.958904,0.25,0.985915,0.946667,0.5,0.958904,0.25,0.985915,0.946667,0.5,0.958904,0.25,0.985915,
8,Human,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648,0.936,0.3,0.953425,0.15,0.980282,
9,Human,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648,0.936,0.3,0.953425,0.15,0.980282,
10,Human,0.936,0.3,0.953425,0.15,0.980282,0.936,0.3,0.953425,0.15,0.980282,0.941333,0.4,0.956164,0.2,0.983099,
11,Human,0.941333,0.4,0.956164,0.2,0.983099,0.946667,0.5,0.958904,0.25,0.985915,0.941333,0.4,0.956164,0.2,0.983099,
12,Human,0.941333,0.4,0.956164,0.2,0.983099,0.941333,0.4,0.956164,0.2,0.983099,0.936,0.3,0.953425,0.15,0.980282,
13,Human,0.92,0,0.945205,0,0.971831,0.92,0,0.945205,0,0.971831,0.936,0.3,0.953425,0.15,0.980282,
14,Human,0.92,0,0.945205,0,0.971831,0.92,0,0.945205,0,0.971831,0.925333,0.1,0.947945,0.05,0.974648,
15,Human,0.92,0,0.945205,0,0.971831,0.92,0,0.945205,0,0.971831,0.925333,0.1,0.947945,0.05,0.974648,
16,Human,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648,
17,Human,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465,0.92,0,0.945205,0,0.971831,
18,Human,0.92,0,0.945205,0,0.971831,0.92,0,0.945205,0,0.971831,0.930667,0.2,0.950685,0.1,0.977465,
19,Human,0.941333,0.4,0.956164,0.2,0.983099,0.941333,0.4,0.956164,0.2,0.983099,0.930667,0.2,0.950685,0.1,0.977465,
20,Human,0.936,0.3,0.953425,0.15,0.980282,0.936,0.3,0.953425,0.15,0.980282,0.941333,0.4,0.956164,0.2,0.983099,
21,Cup,0.968,0.8,0.972603,0.444444,0.994398,0.978667,1,0.978082,0.555556,1,0.962667,0.7,0.969863,0.388889,0.991597,
22,Cup,0.978667,1,0.978082,0.555556,1,0.978667,1,0.978082,0.555556,1,0.946667,0.4,0.961644,0.222222,0.983193,
23,Cup,0.957333,0.6,0.967123,0.333333,0.988796,0.973333,0.9,0.975342,0.5,0.997199,0.941333,0.3,0.958904,0.166667,0.980392,
24,Cup,0.968,0.8,0.972603,0.444444,0.994398,0.968,0.8,0.972603,0.444444,0.994398,0.952,0.5,0.964384,0.277778,0.985994,
26,Cup,0.968,0.8,0.972603,0.444444,0.994398,0.962667,0.7,0.969863,0.388889,0.991597,0.952,0.5,0.964384,0.277778,0.985994,
27,Cup,0.978667,1,0.978082,0.555556,1,0.978667,1,0.978082,0.555556,1,0.952,0.5,0.964384,0.277778,0.985994,
28,Cup,0.968,0.8,0.972603,0.444444,0.994398,0.978667,1,0.978082,0.555556,1,0.952,0.5,0.964384,0.277778,0.985994,
29,Cup,0.962667,0.7,0.969863,0.388889,0.991597,0.968,0.8,0.972603,0.444444,0.994398,0.941333,0.3,0.958904,0.166667,0.980392,
30,Cup,0.930667,0.1,0.953425,0.0555556,0.97479,0.930667,0.1,0.953425,0.0555556,0.97479,0.936,0.2,0.956164,0.111111,0.977591,
31,Cup,0.957333,0.6,0.967123,0.333333,0.988796,0.962667,0.7,0.969863,0.388889,0.991597,0.941333,0.3,0.958904,0.166667,0.980392,
